 A	EY
 ACCUMULATION	AH K Y UW M Y AH L EY SH AH N
 ACCURATE	AE K Y ER AH T
 ACCURATELY	AE K Y ER AH T L IY
 ACCUSED	AH K Y UW Z D
 ACCUSER	AH K Y UW Z ER
 ACCUSTOMED	AH K AH S T AH M D
 ACETONES	AE S AH T OW N Z
 ACHIEVED	AH CH IY V D
 ACID	AE S AH D
 ACKNOWLEDGE	AE K N AA L IH JH
 ACQUAINTANCE	AH K W EY N T AH N S
 ACQUIESCE	AE K W IY EH S
 ACQUIRE	AH K W AY ER
 ACQUIRED	AH K W AY ER D
 ACQUIREMENT	AH K W AY ER M AH N T
 ACQUITTED	AH K W IH T IH D
 ACRES	EY K ER Z
 ACROSS	AH K R AO S
 ACT	AE K T
 ACTED	AE K T IH D
 ACTING	AE K T IH NG
 ACTION	AE K SH AH N
 ACTIONABLE	AE K SH AH N AH B AH L
 ACTIONS	AE K SH AH N Z
 ACTIVE	AE K T IH V
 ACTIVELY	AE K T IH V L IY
 ACTIVITY	AE K T IH V IH T IY
 ACTOR	AE K T ER
 ACTS	AE K T S
 ACTUAL	AE K CH AH W AH L
 ACTUALLY	AE K CH UW AH L IY
 ACUTE	AH K Y UW T
 ACUTENESS	AH K Y UW T N AH S
 ADAPT	AH D AE P T
 ADAPTED	AH D AE P T IH D
 ADD	AE D
 ADDED	AE D IH D
 ADDER	AE D ER
 ADDICTED	AH D IH K T IH D
 ADDING	AE D IH NG
 ADDITION	AH D IH SH AH N
 ADDLESTONE	AE D L AH S T OW N
 ADDRESS	AE D R EH S
 ADDRESSED	AH D R EH S T
 ADDRESSING	AE D R EH S IH NG
 ADDS	AE D Z
 ADHESIVE	AE D HH IY S IH V
 ADJACENT	AH JH EY S AH N T
 ADJECTIVE	AE JH IH K T IH V
 ADLER	AE D L ER
 ADMINISTRATION	AE D M IH N IH S T R EY SH AH N
 ADMIRABLE	AE D M ER AH B AH L
 ADMIRABLY	AE D M ER AH B L IY
 ADMIRATION	AE D M ER EY SH AH N
 ADMIRE	AE D M AY R
 ADMIRERS	AH D M AY R ER Z
 ADMIRING	AE D M AY R IH NG
 ADMITS	AH D M IH T S
 ADMITTED	AH D M IH T AH D
 ADO	AH D UW
 ADOPTED	AH D AA P T AH D
 ADVANCE	AH D V AE N S
 ADVANCED	AH D V AE N S T
 ADVANCES	AH D V AE N S IH Z
 ADVANCING	AH D V AE N S IH NG
 ADVANTAGE	AE D V AE N T IH JH
 ADVANTAGES	AE D V AE N T IH JH IH Z
 ADVENT	AE D V EH N T
 ADVENTURE	AE D V EH N CH ER
 ADVENTURES	AE D V EH N CH ER Z
 ADVENTUROUS	AE D V EH N CH ER AH S
 ADVERTISE	AE D V ER T AY Z
 ADVERTISED	AE D V ER T AY Z D
 ADVERTISEMENT	AE D V ER T AH Z M AH N T
 ADVERTISEMENTS	AE D V ER T AY Z M AH N T S
 ADVERTISING	AE D V ER T AY Z IH NG
 ADVICE	AE D V AY S
 ADVISE	AE D V AY Z
 ADVISED	AE D V AY Z D
 ADVISER	AE D V AY Z ER
 ADVOCATE	AE D V AH K AH T
 AFFAIR	AH F EH R
 AFFAIRE	AH F EH R
 AFFAIRS	AH F EH R Z
 AFFECT	AH F EH K T
 AFFECTATION	AE F EH K T EY SH AH N
 AFFECTED	AH F EH K T IH D
 AFFECTING	AH F EH K T IH NG
 AFFECTION	AH F EH K SH AH N
 AFFECTIONATE	AH F EH K SH AH N AH T
 AFFECTIONS	AH F EH K SH AH N Z
 AFFLICTION	AH F L IH K SH AH N
 AFFORD	AH F AO R D
 AFFORDED	AH F AO R D AH D
 AFGHAN	AE F G AE N
 AFGHANISTAN	AE F G AE N AH S T AE N
 AFRAID	AH F R EY D
 AFTER	AE F T ER
 AFTERGLOW	AE F T ER G L OW
 AFTERNOON	AE F T ER N UW N
 AFTERWARDS	AE F T ER W ER D Z
 AGAIN	AH G EH N
 AGAINST	AH G EH N S T
 AGE	EY JH
 AGED	EY JH D
 AGENCIES	EY JH AH N S IY Z
 AGENCY	EY JH AH N S IY
 AGENT	EY JH AH N T
 AGITATED	AE JH AH T EY T AH D
 AGITATION	AE JH AH T EY SH AH N
 AGO	AH G OW
 AGONIES	AE G AH N IY Z
 AGONISED	AE G AH N IY Z D
 AGONY	AE G AH N IY
 AGREE	AH G R IY
 AGREED	AH G R IY D
 AGREES	AH G R IY Z
 AGRICULTURAL	AE G R IH K AH L CH ER AH L
 AH	AA
 AHEAD	AH HH EH D
 AHT	AE T
 AID	EY D
 AIDED	EY D IH D
 AIM	EY M
 AIMLESS	EY M L AH S
 AIMLESSLY	EY M L AH S L IY
 AIR	EH R
 AJAR	AH JH AA R
 AKIMBO	AH K IH M B OW
 AKIN	AH K IH N
 ALARM	AH L AA R M
 ALARMED	AH L AA R M D
 ALAS	AH L AE S
 ALBANS	AE L B AE N Z
 ALBANY	AO L B AH N IY
 ALBEIT	AO L B IY IH T
 ALBERT	AE L B ER T
 ALBIN	AE L B IH N
 ALDERSHOT	AE L D AH R SH AH T
 ALERT	AH L ER T
 ALEXANDER	AE L IH G Z AE N D ER
 ALIAS	EY L IY AH S
 ALICE	AE L IH S
 ALICIA	AH L IH SH AH
 ALIEN	EY L IY AH N
 ALIGHT	AH L AY T
 ALIGHTING	AH L AY T IH NG
 ALIKE	AH L AY K
 ALIVE	AH L AY V
 ALL	AO L
 ALLAY	AH L EY
 ALLEGING	AH L EH JH IH NG
 ALLEGRO	AH L EH G R OW
 ALLEY	AE L IY
 ALLEYS	AE L IY Z
 ALLIANCE	AH L AY AH N S
 ALLIED	AH L AY D
 ALLOW	AH L AW
 ALLOWANCE	AH L AW AH N S
 ALLOWED	AH L AW D
 ALLOWING	AH L AW IH NG
 ALLOWS	AH L AW Z
 ALLUDE	AH L UW D
 ALLUDED	AH L UW D AH D
 ALLUSION	AH L UW ZH AH N
 ALLUSIONS	AH L UW ZH AH N Z
 ALLY	AE L AY
 ALMOST	AO L M OW S T
 ALONE	AH L OW N
 ALONG	AH L AO NG
 ALOO	AE L UW
 ALOUD	AH L AW D
 ALOYSIUS	AE L OW IH SH IH S
 ALPHA	AE L F AH
 ALREADY	AO L R EH D IY
 ALSO	AO L S OW
 ALTAR	AO L T ER
 ALTER	AO L T ER
 ALTERATIONS	AO L T ER EY SH AH N Z
 ALTERED	AO L T ER D
 ALTERNATELY	AO L T ER N AH T L IY
 ALTERNATION	AO L T ER N EY SH AH N
 ALTHOUGH	AO L DH OW
 ALTOGETHER	AO L T AH G EH DH ER
 ALWAYS	AO L W EY Z
 AM	AE M
 AMALGAM	AH M AE L G AH M
 AMATEUR	AE M AH CH ER
 AMAZED	AH M EY Z D
 AMAZING	AH M EY Z IH NG
 AMAZINGLY	AH M EY Z IH NG L IY
 AMBITIOUS	AE M B IH SH AH S
 AMBULANCES	AE M B Y AH L AH N S IH Z
 AMERICA	AH M EH R IH K AH
 AMERICAN	AH M EH R IH K AH N
 AMERICANS	AH M EH R IH K AH N Z
 AMETHYST	AE M IH TH IH S T
 AMIABLE	EY M IY AH B AH L
 AMID	AH M IH D
 AMIDST	AH M IH D S T
 AMISS	AH M IH S
 AMMUNITION	AE M Y AH N IH SH AH N
 AMONG	AH M AH NG
 AMOUNT	AH M AW N T
 AMOY	AE M OW IY
 AMPLE	AE M P AH L
 AMPLIFYING	AE M P L AH F AY IH NG
 AMPLY	AE M P L IY
 AMUSE	AH M Y UW Z
 AMUSED	AH M Y UW Z D
 AMUSEMENT	AH M Y UW Z M AH N T
 AMUSING	AH M Y UW Z IH NG
 AN	AE N
 ANALYSIS	AE N AE L IH S IH S
 ANALYTICAL	AE N AH L IH T IH K AH L
 ANATOMY	AH N AE T AH M IY
 ANCESTRAL	AE N S EH S T R AH L
 ANCIENT	EY N CH AH N T
 AND	AH N D
 ANDERSON	AE N D ER S AH N
 ANDOVER	AE N D OW V ER
 ANGEL	EY N JH AH L
 ANGER	AE NG G ER
 ANGLE	AE NG G AH L
 ANGRILY	AE NG G R AH L IY
 ANGRY	AE NG G R IY
 ANGUISH	AE NG G W IH SH
 ANIMAL	AE N AH M AH L
 ANIMALS	AE N AH M AH L Z
 ANIMATED	AE N AH M EY T IH D
 ANKLES	AE NG K AH L Z
 ANNIHILATED	AH N AY AH L EY T IH D
 ANNOUNCE	AH N AW N S
 ANNOUNCED	AH N AW N S T
 ANNOUNCEMENT	AH N AW N S M EH N T
 ANNOYANCE	AH N OY AH N S
 ANNOYED	AH N OY D
 ANNUAL	AE N Y UW AH L
 ANOINTS	AH N OY N T S
 ANOTHER	AH N AH DH ER
 ANSTRUTHER	AE N Z T R UW TH ER
 ANSWER	AE N S ER
 ANSWERED	AE N S ER D
 ANSWERING	AE N S ER IH NG
 ANSWERS	AE N S ER Z
 ANTAGONIST	AE N T AE G AH N AH S T
 ANTAGONISTS	AE N T AE G AH N AH S T S
 ANTE	AE N T IY
 ANTECEDENTS	AE N T IH S IY D AH N T S
 ANTICIPATING	AE N T IH S AH P EY T IH NG
 ANTICS	AE N T IH K S
 ANTS	AE N T S
 ANXIETY	AE NG Z AY AH T IY
 ANXIOUS	AE NG K SH AH S
 ANXIOUSLY	AE NG K SH AH S L IY
 ANY	EH N IY
 ANYBODY	EH N IY B AH D IY
 ANYHOW	EH N IY HH AW
 ANYONE	EH N IY W AH N
 ANYTHING	EH N IY TH IH NG
 ANYWHERE	EH N IY W EH R
 APACHE	AH P AE CH IY
 APACHES	AH P AE CH IY Z
 APART	AH P AA R T
 APARTMENT	AH P AA R T M AH N T
 APARTMENTS	AH P AA R T M AH N T S
 APATHY	AE P AH TH IY
 APERTURE	AE P ER CH ER
 APEX	EY P EH K S
 APIECE	AH P IY S
 APOLOGIZE	AH P AA L AH JH AY Z
 APOLOGY	AH P AA L AH JH IY
 APOSTLES	AH P AO S AH L Z
 APPARELLED	AH P AE R AH L D
 APPARENTLY	AH P EH R AH N T L IY
 APPARITION	AE P ER IH SH AH N
 APPEAL	AH P IY L
 APPEALS	AH P IY L Z
 APPEAR	AH P IH R
 APPEARANCE	AH P IH R AH N S
 APPEARANCES	AH P IH R AH N S AH Z
 APPEARED	AH P IH R D
 APPEARS	AH P IH R Z
 APPENDAGE	AH P EH N D IH JH
 APPLES	AE P AH L Z
 APPLY	AH P L AY
 APPLYING	AH P L AY IH NG
 APPOINTMENT	AH P OY N T M AH N T
 APPRENTICED	AH P R EH N T AH S T
 APPROACH	AH P R OW CH
 APPROACHED	AH P R OW CH T
 APPROACHES	AH P R OW CH IH Z
 APPROACHING	AH P R OW CH IH NG
 APPROPRIATE	AH P R OW P R IY AH T
 APPROVINGLY	AH P R UW V IH NG L IY
 APRIL	EY P R AH L
 APRONED	EY P R AH N D
 APT	AE P T
 AQUILINE	AE K W AH L AY N
 ARABIAN	AH R EY B IY AH N
 ARAT	AH R AE T
 ARCADES	AA R K EY D Z
 ARCH	AA R CH
 ARCHIE	AA R CH IY
 ARCHITECTS	AA R K AH T EH K T S
 ARDUOUS	AA R JH UW AH S
 ARE	AA R
 AREA	EH R IY AH
 ARGON	AA R G AA N
 ARGUE	AA R G Y UW
 ARGUMENT	AA R G Y AH M AH N T
 ARGUMENTS	AA R G Y AH M AH N T S
 ARIGHT	AH R AY T
 ARISE	ER AY Z
 ARISEN	ER IH Z AH N
 ARISTOCRATIC	ER IH S T AH K R AE T IH K
 ARIZONA	EH R IH Z OW N AH
 ARM	AA R M
 ARMAMENT	AA R M AH M AH N T
 ARMED	AA R M D
 ARMITAGE	AA R M IH T IH JH
 ARMOUR	AA R M ER
 ARMOURED	AA R M ER D
 ARMS	AA R M Z
 ARMY	AA R M IY
 AROSE	ER OW Z
 AROUND	ER AW N D
 AROUSED	ER AW Z D
 ARRANGE	ER EY N JH
 ARRANGED	ER EY N JH D
 ARRANGEMENTS	ER EY N JH M AH N T S
 ARRAY	ER EY
 ARREST	ER EH S T
 ARRESTED	ER EH S T AH D
 ARRESTING	ER EH S T IH NG
 ARRIVAL	ER AY V AH L
 ARRIVALS	ER AY V AH L Z
 ARRIVE	ER AY V
 ARRIVED	ER AY V D
 ARROWS	AE R OW Z
 ART	AA R T
 ARTERY	AA R T ER IY
 ARTHUR	AA R TH ER
 ARTICLE	AA R T AH K AH L
 ARTICLES	AA R T AH K AH L Z
 ARTICULATE	AA R T IH K Y AH L EY T
 ARTIFICIAL	AA R T AH F IH SH AH L
 ARTILLERY	AA R T IH L ER IY
 ARTILLERYMAN	AA R T IH L AH R IY M AE N
 ARTIST	AA R T AH S T
 ARTISTIC	AA R T IH S T IH K
 AS	AE Z
 ASCEND	AH S EH N D
 ASCENDED	AH S EH N D AH D
 ASCERTAIN	AE S ER T EY N
 ASCERTAINED	AE S ER T EY N D
 ASCERTAINING	AE S ER T EY N IH NG
 ASCRIBED	AH S K R AY B D
 ASH	AE SH
 ASHAMED	AH SH EY M D
 ASHEN	AE SH AH N
 ASHES	AE SH IH Z
 ASHY	AE SH IY
 ASIDE	AH S AY D
 ASK	AE S K
 ASKED	AE S K T
 ASKING	AE S K IH NG
 ASLEEP	AH S L IY P
 ASPECT	AE S P EH K T
 ASPIRED	AH S P AY R D
 ASSAILANTS	AH S EY L AH N T S
 ASSAULT	AH S AO L T
 ASSAULTED	AH S AO L T IH D
 ASSEMBLED	AH S EH M B AH L D
 ASSERT	AH S ER T
 ASSERTION	AH S ER SH AH N
 ASSIDUOUSLY	AH S IH D W AH S L IY
 ASSIST	AH S IH S T
 ASSISTANCE	AH S IH S T AH N S
 ASSISTANT	AH S IH S T AH N T
 ASSISTED	AH S IH S T AH D
 ASSISTING	AH S IH S T IH NG
 ASSIZES	AE S AY Z IH Z
 ASSOCIATE	AH S OW S IY AH T
 ASSOCIATED	AH S OW S IY EY T AH D
 ASSOCIATION	AH S OW S IY EY SH AH N
 ASSUME	AH S UW M
 ASSUMED	AH S UW M D
 ASSURANCE	AH SH UH R AH N S
 ASSURANCES	AH SH UH R AH N S IH Z
 ASSURE	AH SH UH R
 ASSURED	AH SH UH R D
 ASSUREDLY	AH SH UH R AH D L IY
 ASSURES	AH SH UH R Z
 ASTIR	AH S T ER
 ASTONISHED	AH S T AA N IH SH T
 ASTONISHING	AH S T AA N IH SH IH NG
 ASTONISHMENT	AH S T AA N IH SH M AH N T
 ASTOUNDED	AH S T AW N D IH D
 ASTRIDE	AH S T R AY D
 ASTRONOMER	AH S T R AA N AH M ER
 ASTRONOMICAL	AE S T R AH N AA M IH K AH L
 ASTRONOMY	AH S T R AA N AH M IY
 ASTUTE	AH S T UW T
 ASYLUM	AH S AY L AH M
 AT	AE T
 ATE	EY T
 ATLANTIC	AH T L AE N T IH K
 ATMOSPHERE	AE T M AH S F IH R
 ATONE	AH T OW N
 ATOP	AH T AA P
 ATTACHED	AH T AE CH T
 ATTACK	AH T AE K
 ATTACKED	AH T AE K T
 ATTAIN	AH T EY N
 ATTAINED	AH T EY N D
 ATTAINMENTS	AH T EY N M AH N T S
 ATTEMPT	AH T EH M P T
 ATTEMPTED	AH T EH M P T AH D
 ATTEMPTING	AH T EH M P T IH NG
 ATTEMPTS	AH T EH M P T S
 ATTEND	AH T EH N D
 ATTENDANT	AH T EH N D AH N T
 ATTENTION	AH T EH N SH AH N
 ATTENTIONS	AH T EH N SH AH N Z
 ATTENUATED	AH T EH N Y UW EY T IH D
 ATTIC	AE T IH K
 ATTICS	AE T IH K S
 ATTIRED	AH T AY R D
 ATTITUDE	AE T AH T UW D
 ATTITUDES	AE T AH T UW D Z
 ATTRACT	AH T R AE K T
 ATTRACTED	AH T R AE K T AH D
 ATTRACTING	AH T R AE K T IH NG
 ATTRACTIONS	AH T R AE K SH AH N Z
 AUCKLAND	AA K L AH N D
 AUDIBLE	AA D AH B AH L
 AUGUST	AA G AH S T
 AUGUSTINE	AA G AH S T IY N
 AUNT	AE N T
 AUSTRALIA	AO S T R EY L Y AH
 AUSTRALIAN	AO S T R EY L Y AH N
 AUSTRALIANS	AO S T R EY L Y AH N Z
 AUTHENTICATION	AO TH EH N T AH K EY SH AH N
 AUTHORISED	AO TH ER IY Z D
 AUTHORITIES	AH TH AO R AH T IY Z
 AUTHORITY	AH TH AO R AH T IY
 AUTOMATIC	AO T AH M AE T IH K
 AUTUMNAL	AO T AH M N AH L
 AVAILABLE	AH V EY L AH B AH L
 AVAILING	AH V EY L IH NG
 AVEN'T	AA V EY AH N T
 AVENUE	AE V AH N UW
 AVERAGE	AE V ER IH JH
 AVERSE	AH V ER S
 AVERSION	AH V ER ZH AH N
 AVERT	AH V ER T
 AVERTED	AH V ER T AH D
 AVOID	AH V OY D
 AVOIDED	AH V OY D IH D
 AVOIDING	AH V OY D IH NG
 AWAIT	AH W EY T
 AWAITED	AH W EY T IH D
 AWAITING	AH W EY T IH NG
 AWAKE	AH W EY K
 AWAKENED	AH W EY K AH N D
 AWARE	AH W EH R
 AWAY	AH W EY
 AWFUL	AA F AH L
 AWKWARD	AA K W ER D
 AWOKE	AH W OW K
 AXIOM	AE K S IY AH M
 AYE	AY
 AZURE	AE ZH ER
 B	B IY
 BABOON	B AH B UW N
 BABY	B EY B IY
 BACHELOR	B AE CH AH L ER
 BACHELORS	B AE CH L ER Z
 BACK	B AE K
 BACKED	B AE K T
 BACKGAMMON	B AE K G AE M AH N
 BACKGROUND	B AE K G R AW N D
 BACKS	B AE K S
 BACKWARD	B AE K W ER D
 BACKWARDS	B AE K W ER D Z
 BACKWATER	B AE K W AO T ER
 BAD	B AE D
 BADE	B EY D
 BADGE	B AE JH
 BADLY	B AE D L IY
 BAFFLED	B AE F AH L D
 BAG	B AE G
 BAGS	B AE G Z
 BAITS	B EY T S
 BAKER	B EY K ER
 BAKERS	B EY K ER Z
 BALANCE	B AE L AH N S
 BALD	B AO L D
 BALEFUL	B EY L F AH L
 BALL	B AO L
 BALLARAT	B AO L AH R AE T
 BALMORAL	B AE L M AO R AH L
 BALUSTRADED	B AE L AH S T R EY D IH D
 BALZAC	B AE L Z AH K
 BAND	B AE N D
 BANDAGE	B AE N D IH JH
 BANDAGED	B AE N D AH JH D
 BANDAGES	B AE N D AH JH AH Z
 BANDS	B AE N D Z
 BANDY	B AE N D IY
 BANG	B AE NG
 BANGED	B AE NG D
 BANK	B AE NG K
 BANKED	B AE NG K T
 BANKER	B AE NG K ER
 BANKERS	B AE NG K ER Z
 BANKING	B AE NG K IH NG
 BANKS	B AE NG K S
 BANSTEAD	B AE N S T EH D
 BAR	B AA R
 BARBER	B AA R B ER
 BARE	B EH R
 BARELY	B EH R L IY
 BARGAIN	B AA R G AH N
 BARK	B AA R K
 BARMAID	B AA R M EY D
 BARNES	B AA R N Z
 BARNET	B AA R N IH T
 BARNS	B AA R N Z
 BAROMETER	B ER AA M IH T ER
 BAROMETRIC	B AE R AH M EH T R IH K
 BARRACKS	B AE R AH K S
 BARRED	B AA R D
 BARREL	B AE R AH L
 BARRICADE	B AE R AH K EY D
 BARRICADED	B AE R AH K EY D IH D
 BARROW	B AE R OW
 BARS	B AA R Z
 BARTON	B AA R T AH N
 BARYTA	B AE R AH T AH
 BASE	B EY S
 BASIN	B EY S AH N
 BASIS	B EY S AH S
 BASKET	B AE S K AH T
 BASKETFUL	B AE S K AH T F AH L
 BAT	B AE T
 BATH	B AE TH
 BATTALION	B AH T AE L Y AH N
 BATTERED	B AE T ER D
 BATTERIES	B AE T ER IY Z
 BATTERING	B AE T ER IH NG
 BATTERY	B AE T ER IY
 BATTLE	B AE T AH L
 BATTLEGROUND	B AE T AH L G R AW N D
 BAWLED	B AO L D
 BAWLING	B AO L IH NG
 BAYING	B EY IH NG
 BE	B IY
 BEACH	B IY CH
 BEADS	B IY D Z
 BEAM	B IY M
 BEAMS	B IY M Z
 BEAN	B IY N
 BEAR	B EH R
 BEARD	B IH R D
 BEARDED	B IH R D AH D
 BEARING	B EH R IH NG
 BEARINGS	B EH R IH NG Z
 BEARS	B EH R Z
 BEAST	B IY S T
 BEASTS	B IY S T S
 BEAT	B IY T
 BEATEN	B IY T AH N
 BEATING	B IY T IH NG
 BEAUTIFUL	B Y UW T AH F AH L
 BEAUTIFULLY	B Y UW T AH F L IY
 BEAUTY	B Y UW T IY
 BECAME	B IH K EY M
 BECAUSE	B IH K AO Z
 BECHER	B EH K ER
 BECKONED	B EH K AH N D
 BECKONING	B EH K AH N IH NG
 BECOME	B IH K AH M
 BECOMES	B IH K AH M Z
 BECOMING	B IH K AH M IH NG
 BED	B EH D
 BEDDED	B EH D IH D
 BEDROOM	B EH D R UW M
 BEDROOMS	B EH D R UW M Z
 BEDS	B EH D Z
 BEDSIDE	B EH D S AY D
 BEE	B IY
 BEECH	B IY CH
 BEECHES	B IY CH IH Z
 BEEF	B IY F
 BEEN	B IH N
 BEER	B IH R
 BEES	B IY Z
 BEFALL	B IH F AO L
 BEFALLEN	B AH F AA L AH N
 BEFORE	B IH F AO R
 BEFOREHAND	B IH F AO R HH AE N D
 BEG	B EH G
 BEGAN	B IH G AE N
 BEGET	B IH G EH T
 BEGGAR	B EH G ER
 BEGGARMAN	B EH G ER M AE N
 BEGGARY	B EH G EH R IY
 BEGGED	B EH G D
 BEGGING	B EH G IH NG
 BEGIN	B IH G IH N
 BEGINNING	B IH G IH N IH NG
 BEGINNINGS	B IH G IH N IH NG Z
 BEGINS	B IH G IH N Z
 BEGUN	B IH G AH N
 BEHAVIOUR	B IH HH EY V Y ER
 BEHELD	B IY HH EH L D
 BEHIND	B IH HH AY N D
 BEIGE	B EY ZH
 BEING	B IY IH NG
 BEINGS	B IY IH NG Z
 BELATED	B IH L EY T IH D
 BELIEF	B IH L IY F
 BELIEVE	B IH L IY V
 BELIEVED	B IH L IY V D
 BELIEVING	B IH L IY V IH NG
 BELL	B EH L
 BELLIGERENT	B AH L IH JH ER AH N T
 BELLS	B EH L Z
 BELLYINGS	B EH L IY IH NG Z
 BELONGED	B IH L AO NG D
 BELONGING	B IH L AO NG IH NG
 BELONGS	B IH L AO NG Z
 BELOVED	B IH L AH V D
 BELOW	B IH L OW
 BELSIZE	B EH L S AY Z
 BELT	B EH L T
 BEND	B EH N D
 BENDING	B EH N D IH NG
 BENEATH	B IH N IY TH
 BENEFACTOR	B EH N AH F AE K T ER
 BENGAL	B EH NG G AH L
 BENT	B EH N T
 BEQUEATHED	B AH K W IY TH T
 BERKSHIRE	B ER K SH ER
 BERMUDA	B ER M Y UW D AH
 BERTH	B ER TH
 BERTHS	B ER TH S
 BERYL	B EH R AH L
 BERYLS	B EH R AH L Z
 BESIDE	B IH S AY D
 BESIDES	B IH S AY D Z
 BEST	B EH S T
 BET	B EH T
 BETRAY	B IH T R EY
 BETRAYING	B IH T R EY IH NG
 BETTER	B EH T ER
 BETWEEN	B IH T W IY N
 BEVY	B EH V IY
 BEWILDERING	B IH W IH L D ER IH NG
 BEWILDERMENT	B IH W IH L D ER M AH N T
 BEYOND	B IH AA N D
 BIASSED	B AY AH S T
 BIBLE	B AY B AH L
 BICYCLE	B AY S IH K AH L
 BICYCLING	B AY S IH K AH L IH NG
 BIG	B IH G
 BIGGER	B IH G ER
 BILE	B AY L
 BILL	B IH L
 BILLOWING	B IH L OW IH NG
 BILLOWY	B IH L OW IY
 BILLS	B IH L Z
 BILLYCOCK	B IH L IY K AA K
 BIND	B AY N D
 BIOLOGY	B AY AA L AH JH IY
 BIRCHMOOR	B ER CH M UH R
 BIRD	B ER D
 BIRDS	B ER D Z
 BISCUITS	B IH S K AH T S
 BISHOPSGATE	B IH SH AH P S G EY T
 BISON	B AY S AH N
 BISULPHATE	B AY S AH L F EY T
 BIT	B IH T
 BITE	B AY T
 BITTEN	B IH T AH N
 BITTER	B IH T ER
 BITTERLY	B IH T ER L IY
 BITTERNESS	B IH T ER N AH S
 BIZARRE	B AH Z AA R
 BLACK	B L AE K
 BLACKENED	B L AE K AH N D
 BLACKGUARD	B L AE K G AA R D
 BLACKNESS	B L AE K N AH S
 BLACKSMITH	B L AE K S M IH TH
 BLAME	B L EY M
 BLANCHE	B L AE N CH
 BLANCHED	B L AE N CH T
 BLAND	B L AE N D
 BLANDLY	B L AE N D L IY
 BLANK	B L AE NG K
 BLANKLY	B L AE NG K L IY
 BLASTED	B L AE S T AH D
 BLAZE	B L EY Z
 BLAZER	B L EY Z ER
 BLAZING	B L EY Z IH NG
 BLEAK	B L IY K
 BLED	B L EH D
 BLEEDING	B L IY D IH NG
 BLEND	B L EH N D
 BLESS	B L EH S
 BLESSED	B L EH S T
 BLEW	B L UW
 BLIGHT	B L AY T
 BLIND	B L AY N D
 BLINDED	B L AY N D IH D
 BLINDING	B L AY N D IH NG
 BLINDINGLY	B L AY N D IH NG L IY
 BLINDLY	B L AY N D L IY
 BLINDS	B L AY N D Z
 BLINKED	B L IH NG K T
 BLOC	B L AA K
 BLOCK	B L AA K
 BLOCKADED	B L AA K EY D IH D
 BLOCKED	B L AA K T
 BLONDE	B L AA N D
 BLOOD	B L AH D
 BLOODED	B L AH D IH D
 BLOODLESS	B L AH D L AH S
 BLOODSHOT	B L AH D SH AA T
 BLOODSTAINED	B L AH D S T EY N D
 BLOODY	B L AH D IY
 BLOOMSBURY	B L UW M Z B EH R IY
 BLOT	B L AA T
 BLOTCHED	B L AA T CH T
